Timestamp,Mode,Target Password,User Input,Status,Time Taken (Sec)
2026-05-04 01:22:37,BASIC,296164,296214,💥 BOOM,7.74
2026-05-04 01:22:54,BASIC,368489,5CCCCC,💥 BOOM,4.35
2026-05-04 01:23:18,BASIC,626232,626232,✅ DEFUSED,6.56
2026-05-04 01:24:11,ENCRYPTED,5C56,5C56,✅ DEFUSED,11.07
2026-05-04 01:24:55,ENCRYPTED,6537,,💥 BOOM,15.01
2026-05-04 01:26:11,ENCRYPTED,*7C2,*7C2,✅ DEFUSED,6.56
2026-05-04 01:27:07,ENCRYPTED,C384,,💥 BOOM,15.01
2026-05-04 01:27:45,BASIC,561376,561376,✅ DEFUSED,8.34
2026-05-04 01:28:17,BASIC,514316,514316,✅ DEFUSED,14.15
2026-05-04 01:28:33,ENCRYPTED,*A45,*A45,✅ DEFUSED,7.39
2026-05-04 01:29:10,BASIC,878656,878656,✅ DEFUSED,11.17
2026-05-04 01:31:14,BASIC,753500,735000,💥 BOOM,5.39
2026-05-04 01:31:50,BASIC,387253,387287,💥 BOOM,5.88
2026-05-04 01:32:24,BASIC,324321,324321,✅ DEFUSED,4.68
2026-05-04 01:33:00,ENCRYPTED,10#9,10#9,✅ DEFUSED,9.01
2026-05-04 01:45:29,BASIC,563853,45,💥 BOOM,9.97
2026-05-04 01:45:57,ENCRYPTED,6399,,💥 BOOM,15.01
2026-05-04 01:47:06,BASIC,579299,585636,💥 BOOM,8.57
2026-05-04 01:48:30,ENCRYPTED,0018,,💥 BOOM,15.0
2026-05-04 01:48:51,ENCRYPTED,1#95,,💥 BOOM,14.97
2026-05-04 01:49:18,BASIC,646366,852369,💥 BOOM,7.48
